note,depth,environment,sample_type,title,description,decimalLatitude,decimalLongitude,locality,relativeOrganismQuantity,datasetKey,sequence_type,reference
,,freshwater,sediment,Pond sediments Metagenome,Diversity of Bacterial and Archaeal 16S rRNA genes in sediment samples collected from biological stabilization ponds across different latitudes of China,30.24,119.56,Zhejiang,1.72E-05,8707c631-1991-4a3c-b68b-c6a31a2e40ca,16s SSU,
,,other,soil,soil bacteria and fungi Targeted loci environmental,This study evaluated differences in community composition of all bacteria and fungi present in woody plant encroached streams and soils versus restored (woody plants removed) streams and soils,39.09,-96.56,"Konza Prairie, Kansas",4.70E-07,ddba492c-057c-473d-8139-38eff66ad347,16s SSU,
,,marine,fluids,Marine Bacteria 16S V4 Raw sequence reads,Analysis of Bacterioplankton Community Distribution Pattern in Bohai Bay,38.68,117.74,Bo Hai,1.06E-05,c5093f9a-42c3-4723-bf19-a1ac9b6b43fd,16s SSU,
,,marine,fluids,Marine Bacteria 16S V4 Raw sequence reads,Analysis of Bacterioplankton Community Distribution Pattern in Bohai Bay,38.95,117.75,Bo Hai,2.62E-05,c5093f9a-42c3-4723-bf19-a1ac9b6b43fd,16s SSU,
,,marine,sediment,Coastal Sediment Bacterial Community Alterations in Association with Sudden Vegetation Dieback,"This study analyses the alterations in the sediment microbial communities in a coastal wetland in response to the die off of the dominant plant, Spartina alterniflora",41.27,-72.56,Connecticut,2.84E-06,3b69071b-11c6-4c73-a80a-f0f003b2b136,16s SSU,
,,other,fluids,NEON Surface Water Microbe Marker Gene Sequences - 2014,"This study provides the sequence data for the NEON data product, Surface water microbe marker gene sequences (NEON.DP1.20282). The goal of this project is to track changes in the diversity and composition of bacteria, archaea and fungi in planktonic aquatic ecosystems through space and time. NEON collects water column microbes from various depths at numerous sites distributed across the United States. Total genomic DNA is extracted and the 16S and ITS regions of the rRNA cistron are sequenced using high-throughput methods. For additional details and data, visit the NEON Data Portal at <a href=""http://data.neonscience.org"">http://data.neonscience.org</a>.",47.16,-99.12,NA,1.06E-05,eca31136-2ea8-4849-8d7f-fc0676b0cde3,16s SSU,
hydrocarbons,,marine,sediment,Tyne oil spill snorkels Raw sequence reads,"Bioelectrochemical bioremediation to accelerate hydrocarbon biodegradation in anoxic marine sediments, using ""oil-spill snorkels"". The snorkels (rods of conductive material) were positioned to create an electrochemical connection between the anoxic contaminated sediment and the oxic overlying water. In principle, the snorkel could take advantage of the capability of electro-active bacteria to anaerobically oxidize hydrocarbons with the snorkel serving as a respiratory electron acceptor.Fifty 16S rRNA amplicon libraries were generated representing microbial communities from the snorkel, no oil snorkel, control, no oil control and abiotic experiments at 175, 286 and 466 days during the incubation period, as well as from the initial sediments with and without oil (Time 0).",54.57,-1.4,Newcastle,7.30E-04,e771b0a8-4b27-4284-b9e8-3b7343e631fe,16s SSU,
hydrocarbons,,other,sediment,"PAH-contaminated sediment from the Lagos Lagoon, Nigeria",sediment metagenome,6.54,3.52,NA,1.71E-05,b2aabe0c-a8bd-48af-8596-57977e20bda6,16s SSU,
methane-rich,,marine,sediment,Mediterranean mud volcano flow Targeted loci,"Mud volcanoes (MVs) expel mobilized muds, gases, and fluids from the subsurface at convergent margins. These muds and fluids originate from numerous sources and depths that range from methanogenic sediment layers, destabilizing gas hydrate deposits, clay dehydration reactions, and thermogenic hydrocarbon sourcesand thus represent a convenient window into the deep biosphere. The proposed sequencing opportunity will address bacterial and archaeal community diversity in recent mud flows of the Venere Mud Volcano and underlying mud volcano sediments to assess how mud flow deposition and subsurface fluids influence microbial community composition and dynamics. We sequenced 16S V4V5 amplicons from bacterial and archaeal communities at varying mud flow depths with contrasting deep fluid chemistries.",38.61,17.19,NA,4.50E-06,b08600a5-1737-474b-a987-91977c0af258,16s SSU,
,,other,sediment,sediment metagenome Raw sequence reads,microbe community and funtion,27.75,111.46,lengshuijiang city of Hunan province,1.06E-06,d9527ee9-03fa-4a97-a4bf-12f5a5a54b61,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",22.74,-158,North Eastern Pacific Ocean,3.27E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",26.68,-159,North Eastern Pacific Ocean,3.42E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",29,-155,North Eastern Pacific Ocean,3.73E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",30.72,-157.99,North Eastern Pacific Ocean,1.51E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",33.17,-130.81,North Eastern Pacific Ocean,1.64E-05,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",33.65,-154.42,North Eastern Pacific Ocean,3.77E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",33.99,-145,North Eastern Pacific Ocean,3.75E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",34.7,-154,North Eastern Pacific Ocean,4.43E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",34.85,-157.99,North Eastern Pacific Ocean,3.53E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",36.65,-158.73,North Eastern Pacific Ocean,2.25E-06,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
nutrient-poor,,marine,fluids,North Pacific Subtropical Gyre Microbial Community,"16S amplicon libraries were collected as a portion of the Seasonal and decadal changes in temperature drive Prochlorococcus ecotype distribution patterns, also known as Prochlorococcus of Warming Ocean Waters (POWOW) Cruise series. The samples were collected in January 2013 (KM1301) and July 2013 (KM1312) in the Eastern North Pacific Ocean. The goal of this project was to characterize ecosystem scale changes associated with shifts in temperature.",46.46,-157.99,North Eastern Pacific Ocean,1.54E-05,7ea4a04e-4610-4bca-8450-9f654c87ef22,16s SSU,
toxic,,marine,other,Life in a toxic environment,Monitoring of microbial groups along redox gradients in different marine environments.,-12.39,-77.4,NA,6.10E-06,c44436e1-0be5-449c-a782-2a23128274b0,16s SSU,
hot,,"freshwater, marine",sediment,Thermophilic endospores in temperate sediments,"Sediment heating experiments were performed with freshwater, brackish and marine sediments to investigate the dispersal of microorganisms in aquatic environments",54.97,-1.87,Tyne estuary,3.78E-04,05fd79d4-e4b4-486e-98dc-c21e38d224c6,16s SSU,
hot,,"freshwater, marine",sediment,Thermophilic endospores in temperate sediments,"Sediment heating experiments were performed with freshwater, brackish and marine sediments to investigate the dispersal of microorganisms in aquatic environments",54.97,-1.59,Tyne estuary,5.97E-05,05fd79d4-e4b4-486e-98dc-c21e38d224c6,16s SSU,
,,marine,other,marine metagenome Metagenome,Marine microbial diversity study,17.41,83.16,Andhra Pradesh,1.35E-06,69fd3e33-fc2b-450c-9970-fdf632ac54bb,16s SSU,
,,marine,other,marine metagenome Metagenome,Marine microbial diversity study,20.17,86.43,NA,9.93E-06,69fd3e33-fc2b-450c-9970-fdf632ac54bb,16s SSU,
hot,,freshwater,sediment,Temperature shifts simulating secondary oil recovery,The germination of endospore forming bacteria in response to temperature shifts encountered during secondary oil recovery was investigated. Relevance for the mitigation of reservoir souring.,54.96,-1.68,Tyne estuary,0.010128998,55224a2e-b71e-4b94-99b0-695bf835e6b6,16s SSU,
hydrocarbons,,freshwater,sediment,Enhanced pyrene and benzo[a]pyrene degradation by plant root and SMFC,Toward Understanding Complex Interaction between Roots of Macrophyte Sweet Flag Acorus calamus and Anode of Microbial Fuel Cell for Pyrene and Benzo[a]pyrene Degradation in Freshwater Sediments,31,120,Wuxi,0.008356554,d0e5358e-700d-454f-9cf2-8134fcebbe8b,16s SSU,
cold,,lake,sediment,permafrost metagenome Targeted loci environmental,Analysis of microbial communities in thawing permafrost taliks of a thermokarst lake.,65.03,-147.7,Alaska,0.009804325,7234b3a2-037e-4df5-97ce-605ff53dfb1b,16s SSU,
contaminated,,groundwater,sediment,Genetic potential for pentachlorophenol degradation at historically contaminated groundwater sites,"Novel primers for pcpB allowed us for the first time to investigate the genetic potential for degradation of the priority pollutant pentachlorophenol (PCP) in situ. We assessed whether pcpB is detectable at chlorophenol-polluted groundwater sediments at two sites, and if its abundance reflects differences in PCP concentration. We also sought correlations between the abundance and diversity of pcpB and sphingomonads that might indicate host specificity. pcpB was highly abundant, with copy numbers of up to 7% of bacterial 16S rRNA gene copies, and its relative abundance was linked to spatial or temporal differences in groundwater PCP concentration at two historically polluted sites, indicating ecological relevance of the pathway in situ. pcpB abundance was associated with sphingomonad abundance, but independent of sphingomonad community composition. This provides the first culture-independent support for widespread horizontal transfer of PCP degradation potential among sphingomonads in chlorophenol-polluted groundwaters.",60.87,25.27,Krkl,0.079807406,320c348b-7470-4ef2-9e0a-36d4a527b7b3,16s SSU,
contaminated,,groundwater,sediment,Genetic potential for pentachlorophenol degradation at historically contaminated groundwater sites,"Novel primers for pcpB allowed us for the first time to investigate the genetic potential for degradation of the priority pollutant pentachlorophenol (PCP) in situ. We assessed whether pcpB is detectable at chlorophenol-polluted groundwater sediments at two sites, and if its abundance reflects differences in PCP concentration. We also sought correlations between the abundance and diversity of pcpB and sphingomonads that might indicate host specificity. pcpB was highly abundant, with copy numbers of up to 7% of bacterial 16S rRNA gene copies, and its relative abundance was linked to spatial or temporal differences in groundwater PCP concentration at two historically polluted sites, indicating ecological relevance of the pathway in situ. pcpB abundance was associated with sphingomonad abundance, but independent of sphingomonad community composition. This provides the first culture-independent support for widespread horizontal transfer of PCP degradation potential among sphingomonads in chlorophenol-polluted groundwaters.",61.67,27.29,Mikkeli,0.016538235,320c348b-7470-4ef2-9e0a-36d4a527b7b3,16s SSU,
,,marine,fluids,Microbial Biogeography and Potential Ecological Function Deep Indian Ocean Ridge,"The marine microbial biogeography is gradually emerging a consensus. However, knowledge of the biodiversity, the biogeographic patterns and the factors influencing the distribution of deep-marine prokaryotes in distinct habitats at large scale is far from adequate. In this study, 16S rRNA gene Miseq-sequencing was used to survey the diversity and biogeography of prokaryotes from 39 sites across a broad geographic range, containing two obvious different habitats, hydrothermal and non-hydrothermal sediments. The deep marine sediment communities were highly diverse and Proteobacteria, Thaumarchaeota, Planctomycetes, Acidobacteria, Actinobacteria, Chloroflexi, Gemmatimonadetes, Nitrospirae and Bacteroidetes were dominant in both habitats with varied percentages. The composition of prokaryotic communities obviously diverged across environmental heterogeneity and large geographic distances.",2.67,66.44,NA,2.61E-05,9bbb6370-912b-44bb-a0b3-379e6b69536f,16s SSU,
,,marine,fluids,Microbial Biogeography and Potential Ecological Function Deep Indian Ocean Ridge,"The marine microbial biogeography is gradually emerging a consensus. However, knowledge of the biodiversity, the biogeographic patterns and the factors influencing the distribution of deep-marine prokaryotes in distinct habitats at large scale is far from adequate. In this study, 16S rRNA gene Miseq-sequencing was used to survey the diversity and biogeography of prokaryotes from 39 sites across a broad geographic range, containing two obvious different habitats, hydrothermal and non-hydrothermal sediments. The deep marine sediment communities were highly diverse and Proteobacteria, Thaumarchaeota, Planctomycetes, Acidobacteria, Actinobacteria, Chloroflexi, Gemmatimonadetes, Nitrospirae and Bacteroidetes were dominant in both habitats with varied percentages. The composition of prokaryotic communities obviously diverged across environmental heterogeneity and large geographic distances.",10.02,57.68,NA,8.03E-06,9bbb6370-912b-44bb-a0b3-379e6b69536f,16s SSU,
contaminated,,other,sediment,sediment metagenome Metagenome,"Benthic communities in the aquatic ecosystem are influenced by both natural and anthropogenic stressors. To understand the ecogenomic responses of sediment communities to the multiple stressors of polluted environments, the bacteria, protistanand metazoan communities in sediments from marine and adjacent riverine areas of North Bohai Sea were characterized by environmental DNA meta-systematics, and their associations with environmental variables were assessed bymultiple statistical approaches. The structures of communities in sediments were shaped by both natural variables and anthropogenic contaminants, including DDTs, PAHs or metals. Particularly, the correlation network of multiple communities was modulated by the concentrationsof Na and DDTs at the family level.",39.51,118.2,NA,1.16E-05,72704e74-30b1-424b-97ab-01d082884142,16s SSU,
,surface,river,sediment,Po river Prodelta and Mar Piccolo of Taranto surface sediments bacterial communities targeted loci,NA,44.79,12.48,"Po river Prodelta, Adriatic Sea",1.17E-05,289fd9b6-3f70-497b-8505-9ebfc565fa10,16s SSU,
,surface,river,sediment,Po river Prodelta and Mar Piccolo of Taranto surface sediments bacterial communities targeted loci,NA,44.86,12.54,"Po river Prodelta, Adriatic Sea",5.37E-06,289fd9b6-3f70-497b-8505-9ebfc565fa10,16s SSU,
,surface,river,sediment,Po river Prodelta and Mar Piccolo of Taranto surface sediments bacterial communities targeted loci,NA,44.95,12.57,"Po river Prodelta, Adriatic Sea",7.73E-06,289fd9b6-3f70-497b-8505-9ebfc565fa10,16s SSU,
,surface,river,sediment,Po river Prodelta and Mar Piccolo of Taranto surface sediments bacterial communities targeted loci,NA,44.95,12.59,"Po river Prodelta, Adriatic Sea",7.71E-06,289fd9b6-3f70-497b-8505-9ebfc565fa10,16s SSU,
,surface,river,sediment,Po river Prodelta and Mar Piccolo of Taranto surface sediments bacterial communities targeted loci,NA,44.97,12.58,"Po river Prodelta, Adriatic Sea",1.51E-04,289fd9b6-3f70-497b-8505-9ebfc565fa10,16s SSU,
,,marine,sediment,Intertidal Mixing Zone Targeted Locus (Loci),"Submarine groundwater must pass through an Fe-mineralized barrier before being discharged to coastal environments. Our goal was to assay the microbial members of this subsurface aquifer environment, looking at both pore water and surface sediments from a shore-perpendicular transect down to 4 m depth.",38.79,-75.1,Delaware,0.010546715,65e9cc7e-6903-41c0-b30b-784f33c1df73,16s SSU,
,,wastewater,sediment,Sewer sediments Targeted loci environmental,16S rRNA gene metagenomic study of sewer sediments,40.7,-74.2,New Jersey,5.53E-05,17ebeb27-ff77-46a3-883d-fc89035da1a1,16s SSU,
,,lake,sediment,Lake Washington sediment enrichments,"In this study, we addressed the role that provided nitrogen plays in determining the composition of methane-consuming communities and the methane oxidation potential in a well-studied model system. We applied a multi-phase approach combining microcosm enrichments and pure culture studies with methane oxidation potential measurements and high throughput sequencing. We focused on incubation conditions with a limited O2 availability as observed in the natural environment. 16S rRNA gene profiling showed that with N2 as the only available nitrogen source, communities were dominated by Methylomonas species as the major methane-oxidizing bacteria (MOB). In the presence of added nitrate however, Methylobacter species were the dominant MOB. Pure culture studies of Methylomonas and Methylobacter isolated from the same environment and incubated in the same way confirmed that the growth of a Methylomonas strain was not significantly affected when N2 was the only provided nitrogen source, while growth of a Methylobacter strain was negatively impacted. By further exposing long-term methane fed microbial communities to different nitrogen sources, intraspecific dynamics of non-methanotrophic community members were observed, suggesting nitrate as an additional selective factor for co-occurring species. Our results show that provided nitrogen source is an important factor determining specific responses of individual community members and consequently affecting community composition and overall methane consumption.",47.63,-122.25,Lake Washington,2.65E-05,a6ab3f74-b667-4423-9df6-af18d73783f0,16s SSU,
contaminated,,groundwater,sediment,Long distance electron transfer by cable bacteria in aquifer sediments,Investigation of BTEX contaminated groundwater sediments for the abundance of cable bacteria which could enhance biodegradation by long distance electron transfer at the plume fringes,51.13,6.49,Duesseldorf,0.013400562,e1a2b828-fdf7-4024-a37c-fba19ce036fa,16s SSU,
iron-rich,subsurface,lake,sediment,"Microbial processes in iron-rich sediments of Lake Towuti, Indonesia: Disentangling the methane and iron cycles","Lake Towuti is a ferruginous basin with anoxic conditions below 130 m water depth. Due to these special settings, the lake is ideal to study early diagenesis in iron-rich sediments such as those that generated ancient iron formations during the Archean and Proterozoic. We investigated microbial populations present in the sediments, their role in iron cycle and any cryptic link to other elements. For this purpose, we worked on samples from short cores that were retrieved from Lake Towuti by our scientific team from the German Research Centre for Geosciences (Potsdam, Germany) and the University of British Columbia (Vancouver, Canada). This project was supported by the ICDP priority program of the Deutsche Forschungsgemeinschaft through grants to Jens Kallmeyer (KA 2293/8-1) and Aurèle Vuillemin (VU 94/1-1); the Swiss National Science Foundation (grant no. P2GEP2_148621 to Aurèle Vuillemin); the German Research Centre for Geosciences through an expedition grant to Jens Kallmeyer and Dirk Wagner; and an Natural Sciences and Engineering Research Council of Canada Discovery grant (no. 0487) to Sean A. Crowe.",-2.69,121.47,NA,1.27E-04,f4cbec57-f028-48de-a6d1-405d8a447bb4,16s SSU,
,,marine,fluids,Temporal dynamics of the particle-attached and free-living microbial communities from coastal seawater,"We examined the particle-attached and free-living microbial communities from coastal seawater at the Pivers Island Coastal Observatory (PICO) monthly from July 2013-August 2014. Partial 16S rRNA gene libraries were used to identify bacteria found in four size fractions of seawater &gt;63m (zooplankton and large particles), 63-5m (particles), 5-1m (small particles/ dividing cells) and &lt;1m (free-living bacteria).",34.72,-76.67,"NC, Beaufort",1.12E-05,84eb1bee-b0ad-4119-8a96-d42b52e95203,16s SSU,
,,freshwater,sediment,Development and validation of a multi-trophic metabarcoding biotic index for benthic organic enrichment biomonitoring using a salmon farm case-study.,"Salmon farms are often associated with strong benthic enrichment gradients. Routine monitoring is usually required by regulation, and has traditionally been based on benthic macrofaunal communities. This is reliant on taxonomic expertise, excludes analsyis of micro-organisms and turn-around times can be slow, limiting opportunities for adaptive management. Environmental metabarcoding is a powerful high-throughput sequencing-based technique that is promising for identifying and quantifying assemblages of benthic organisms for biomonitoring. Previous studies have demonstrated relationships between specific taxonomic groups (e.g., bacteria, foraminifera or other eukaryotes) and anthropogenic effects. However, there is uncertainty around applicability at larger spatial and temporal scales, and the absence of fixed categorical scales makes the use of data challenging for routine biomonitoring. In this study, we analysed 105 sediment samples collected over three years from three salmon farms spanning two separate bioregions. Environmental DNA and RNA (eDNA/eRNA) metabarcoding of three taxonomic groups (foraminifera [For], bacteria [Bac], and general eukaryotes [Euk]) was undertaken in parallel with traditional macrofaunal and biochemical analysis (which were used to calculate an Enrichment Stage [ES] index for each sample). The most abundant 200 to 250 Operational Taxonomic Units in each taxonomic group were assigned to Eco-Groups (EG) using a quantitative, quality-based method. These were then used to develop a Metabarcoding Biotic Index (MBI) for each group individually (For-MBI, Bac-MBI, and Euk-MBI) and in combination (multi-trophic MBI; mt-MBI). Based on our assessment criteria we robustly allocated ca. 500 EG to a wide range of known and unknown taxa. Using both the development (year 1 [Y1] and 2 [Y2]) and independent validation (year 3) datasets the weakest correlation was between For-MBI and ES (eDNA/RNA, R2 = 0.731 to 0.850), whereas strong correlations were obtained between the mt-MBI and, or when just Bac and Euk data (mt[Bac+Euk]-MBI) were combined (eDNA/RNA, R2 &gt; 0.900). Consequently, we suggest that foraminifera be excluded from the mt-MBI, which will reduce analytical time and costs. The strong correlations obtained between the mt-MBI and ES confirms that it has the potential to complement or even replace current fish farm biomonitoring techniques in the near future.",-41.24,174.24,NA,2.24E-05,e5a6c31a-a253-4f87-a2a7-f2d18cd82be0,16s SSU,
,,other,other,16S rRNA genes Random survey,Sequencing of 16S genes from fractions of 15N and 13C SIP experiments,71.2,-156.41,NA,9.03E-06,8eb482b3-be5a-4361-bfd0-bcd3f22738d3,16s SSU,
,,marine,fluids,marine metagenome,Romanian coastal Black Sea Bacteria,42.57,34.18,Black Sea,4.03E-06,62e2715e-414d-49cf-84cc-47debfa23f71,16s SSU,
,,lake,sediment,Enrichment of organohalide respiring bacteria,"Organohalide respiring bacteria are difficult to enrich and isolate, which can limit research on these important organisms. The goal of this research was to develop a method to rapidly (minutes to days) enrich these organisms from a mixed culture or sediment sample. The method presented herein was based on the hypothesis that organohalide respiring bacteria would be more hydrophobic than other bacteria as a result of their niche dehalogenating hydrophobic compounds. To test this hypothesis, a method was developed to separate putative organohalide respiring bacteria at the interface between a hydrophobic organic solvent and aqueous media. This novel separation technique was tested with a sediment-free culture, a tetrachloroethene-enriched digester culture, and sediment from an uncontaminated lake.",46.7,-96.02,"Pelican Lake, Minnesota",2.63E-04,0f38f73a-55b7-4409-9af2-bffcc1be8523,16s SSU,
,,other,sediment,Depth profile of ancient sediments,Recruitment of bacteria from the different depth of sediments,60,17.1,Halsjon lake,0.002641672,7b30dd11-75c6-4b1b-8ddc-62a07154a760,16s SSU,
,,other,sediment,Depth profile of ancient sediments,Recruitment of bacteria from the different depth of sediments,60.05,17.81,Stensjon lake,0.024688787,7b30dd11-75c6-4b1b-8ddc-62a07154a760,16s SSU,
herbicides,,marine,fluids,Herbicide-incubated GBR lagoon microbiomes Targeted loci environmental,Year-long incubation of microbiomes from the Great Barrier Reef lagoon using the diuron herbicide. Profiling using 16S rRNA amplicon profiling.,-19.27,147.06,Townsville,3.65E-05,17bd871c-1a81-4517-883d-eaab24a7ee98,16s SSU,
Fe-rich,,freshwater,sediment,magnetite Targeted Locus (Loci),Pond sediment magnetite grains show a distinctive microbial community,37.27,126.57,NA,0.053523338,cdeba034-29d1-4625-a6ea-36289b2826b8,16s SSU,
,surface,marine,sediment,The effect of salinity in prokaryotic communities in an estuary,The goal of this project is to understand the effect of a salinity gradient in an estuary on prokaryotic communities and nitrifying communities,41.14,-8.66,Gaia,1.82E-04,142f4df0-126e-4926-b4d3-bc5a73e22ce8,16s SSU,
anthropogenic,surface,river,sediment,Study of microbial diversity from sediment samples of the SaiGon-DongNai system,The main goal is to study the microbial diversity in polluted river affected by urban and industrial activities.,10.95,106.8,the SaiGon-DongNai river,1.15E-04,8f53eb9d-c069-4f48-baee-4f96e00a1d2b,16s SSU,
anthropogenic,surface,river,sediment,Study of microbial diversity from sediment samples of the SaiGon-DongNai system,The main goal is to study the microbial diversity in polluted river affected by urban and industrial activities.,10.95,106.81,the SaiGon-DongNai river,1.09E-04,8f53eb9d-c069-4f48-baee-4f96e00a1d2b,16s SSU,
anthropogenic,surface,river,sediment,Study of microbial diversity from sediment samples of the SaiGon-DongNai system,The main goal is to study the microbial diversity in polluted river affected by urban and industrial activities.,11.04,106.61,the SaiGon-DongNai river,1.08E-04,8f53eb9d-c069-4f48-baee-4f96e00a1d2b,16s SSU,
anthropogenic,surface,river,sediment,Study of microbial diversity from sediment samples of the SaiGon-DongNai system,The main goal is to study the microbial diversity in polluted river affected by urban and industrial activities.,11.16,106.45,the SaiGon-DongNai river,3.88E-04,8f53eb9d-c069-4f48-baee-4f96e00a1d2b,16s SSU,
,,marine,fluids,Assessing the microbial diversity in Cape Comorin ocean water,"Cape Comorin is a site located at the southern-most point of the Indian Peninsula, where the Bay of Bengal, Arabian Sea and the Indian Ocean meet. This study aims to explore the microbial diversity present in the ocean water at this site.",8.08,77.54,Cape Comorin,4.31E-08,5fb482a8-6428-45f5-87e0-c39b9375cac2,16s SSU,
,,lake,fluids,Amino acid addition experiment Metagenome,Amino acid addition experiments using freshwater lake bacterioplankton,59.78,17.64,Lake Ekoln,8.07E-05,10b3645a-c6c6-412f-b06b-8d623aa82ad1,16s SSU,
U-rich,,groundwater,fluids,Bacterial community profiles in a bioreduced uranium contaminated site after reoxidation,"A site contaminated with uranium was bioreduced through multiple injections of ethanol to immobilize the uranium in situ. Then it was allowed to reoxidize via the invasion of low-pH , high-nitrate groundwater back into the reduced zone for about 4 years. To examine the biogeochemical response, high-throughput sequencing were applied to characterize bacterial population shifts.",36.34,-87.03,Oak Ridge,6.41E-05,3692c933-aff2-41d5-9ff2-31f2a2c919f5,16s SSU,
,,lake,sediment,Raw sequence reads,"Archaeal and bacterial 16S rRNA sequence from sediments sampled from Great Salt Lake, Utah, USA",41.42,-112.09,Great Salt Lake,1.22E-05,3d7d13e8-f87c-40e2-8c00-6eb67d4a8102,16s SSU,
,,marine,sediment,Time course change of microbial community in tsunami sediment caused by the Great East Japan Earthquake,"In this project, we investigated microbial communities in the tsunami sediment collected on Nov. 2012 and incubated under atmosphere in laboratory to clarify time-course change of microbial communities and compare those in the surface (0-2 mm in depth) and core (12-16 mm in depth) sediment.",38.25,141.14,"Miyagi, Higashi-matsushima",3.61E-05,b759ea83-a822-4f52-8eba-8fd1073781ef,16s SSU,
